Date,Open,High,Low,Close,Adj Close,Volume
2016-02-29,73.099998,75.449997,70.500000,71.000000,71.000000,18897468
2016-03-01,72.000000,74.000000,72.000000,73.650002,73.650002,7025298
2016-03-02,77.099998,79.349998,76.800003,78.650002,78.650002,14897378
2016-03-03,80.150002,80.400002,76.500000,79.000000,79.000000,9360691
2016-03-04,78.500000,84.449997,77.500000,83.000000,83.000000,20605169
2016-03-08,82.750000,83.050003,80.849998,81.500000,81.500000,9177778
2016-03-09,80.000000,83.000000,79.550003,82.699997,82.699997,8651489
2016-03-10,83.699997,83.900002,81.099998,81.800003,81.800003,6709519
2016-03-11,81.699997,82.849998,80.449997,81.849998,81.849998,6118213
2016-03-14,83.400002,83.400002,81.550003,82.300003,82.300003,4796884
2016-03-15,82.699997,84.449997,82.099998,83.300003,83.300003,7553332
2016-03-16,83.699997,84.199997,80.949997,82.750000,82.750000,6788879
2016-03-17,85.000000,85.000000,82.300003,82.750000,82.750000,6004065
2016-03-18,83.599998,84.599998,82.449997,84.300003,84.300003,5210801
2016-03-21,85.400002,87.500000,85.099998,86.400002,86.400002,9559481
2016-03-22,86.949997,86.949997,84.800003,85.949997,85.949997,5653763
2016-03-23,85.800003,85.949997,84.199997,84.699997,84.699997,5714949
2016-03-28,84.900002,85.250000,81.699997,82.150002,82.150002,6095882
2016-03-29,82.000000,83.050003,81.050003,81.949997,81.949997,5203411
2016-03-30,82.500000,86.199997,82.300003,85.550003,85.550003,8356521
2016-03-31,85.250000,86.400002,84.400002,84.699997,84.699997,12485726
2016-04-01,84.500000,88.099998,84.250000,87.650002,87.650002,10487538
2016-04-04,88.500000,88.599998,86.099998,86.849998,86.849998,5271040
2016-04-05,86.800003,87.400002,82.099998,82.800003,82.800003,10546767
2016-04-06,82.800003,83.250000,81.000000,81.349998,81.349998,6204590
2016-04-07,81.900002,82.550003,80.250000,81.000000,81.000000,7049389
2016-04-08,80.900002,81.849998,79.900002,81.500000,81.500000,3862497
2016-04-11,81.900002,83.400002,80.199997,83.050003,83.050003,6957616
2016-04-12,83.349998,84.250000,82.699997,83.449997,83.449997,5233194
2016-04-13,84.900002,85.800003,84.150002,84.599998,84.599998,5928217
2016-04-18,84.300003,84.400002,80.849998,82.500000,82.500000,5067674
2016-04-20,83.300003,84.849998,82.050003,84.300003,84.300003,6313954
2016-04-21,85.099998,91.500000,85.099998,88.599998,88.599998,19246303
2016-04-22,87.900002,91.250000,87.599998,90.099998,90.099998,11826755
2016-04-25,90.400002,91.150002,88.449997,89.199997,89.199997,6476934
2016-04-26,88.699997,90.699997,87.800003,90.150002,90.150002,7516256
2016-04-27,90.150002,92.150002,89.550003,90.099998,90.099998,6923537
2016-04-28,90.400002,91.150002,87.900002,88.199997,88.199997,6551956
2016-04-29,88.300003,89.150002,84.199997,86.949997,86.949997,9480942
2016-05-02,86.800003,86.800003,83.699997,84.150002,84.150002,6845550
2016-05-03,84.750000,86.199997,82.599998,82.900002,82.900002,6894167
2016-05-04,82.699997,83.750000,81.000000,81.250000,81.250000,6401120
2016-05-05,82.500000,82.500000,80.800003,81.449997,81.449997,5438243
2016-05-06,81.500000,82.500000,80.099998,80.699997,80.699997,8653694
2016-05-09,81.500000,82.900002,81.300003,82.750000,82.750000,5731887
2016-05-10,82.699997,83.199997,81.300003,82.550003,82.550003,5975377
2016-05-11,81.099998,82.349998,79.300003,79.500000,79.500000,9023281
2016-05-12,80.400002,80.500000,78.250000,79.349998,79.349998,9312004
2016-05-13,79.349998,79.449997,76.800003,77.599998,77.599998,6032591
2016-05-16,76.949997,77.000000,73.699997,74.949997,74.949997,8869168
2016-05-17,75.250000,75.650002,73.000000,73.750000,73.750000,10832961
2016-05-18,72.900002,77.150002,72.099998,76.199997,76.199997,53402234
2016-05-19,74.500000,75.500000,73.449997,74.050003,74.050003,14829522
2016-05-20,74.250000,74.650002,72.699997,73.349998,73.349998,7170774
2016-05-23,73.800003,73.949997,72.050003,72.250000,72.250000,5762911
2016-05-24,72.050003,72.699997,71.050003,71.849998,71.849998,5335725
2016-05-25,73.099998,74.300003,72.699997,74.000000,74.000000,6753231
2016-05-26,74.199997,75.099998,73.000000,74.550003,74.550003,7655312
2016-05-27,75.300003,77.699997,74.800003,76.599998,76.599998,8606243
2016-05-30,78.000000,78.900002,76.400002,77.199997,77.199997,8799323
2016-05-31,77.900002,79.500000,75.650002,79.000000,79.000000,10240573
2016-06-01,79.000000,79.750000,76.250000,76.699997,76.699997,8993217
2016-06-02,76.599998,77.849998,76.000000,77.449997,77.449997,6057502
2016-06-03,78.050003,78.750000,75.449997,76.150002,76.150002,7616323
2016-06-06,76.449997,77.800003,76.050003,77.000000,77.000000,5897442
2016-06-07,77.500000,78.650002,76.300003,77.650002,77.650002,10613718
2016-06-08,77.750000,81.400002,77.400002,80.699997,80.699997,17047951
2016-06-09,81.199997,84.400002,80.949997,82.300003,82.300003,22320765
2016-06-10,82.300003,84.949997,81.949997,84.199997,84.199997,18694884
2016-06-13,82.550003,83.449997,81.750000,83.000000,83.000000,8970712
2016-06-14,84.500000,90.750000,84.500000,89.900002,89.900002,28103102
2016-06-15,91.150002,91.550003,89.500000,90.000000,90.000000,18835068
2016-06-16,89.500000,92.949997,88.599998,92.599998,92.599998,23936547
2016-06-17,93.599998,94.949997,93.050003,94.599998,94.599998,15970335
2016-06-20,92.400002,96.800003,92.000000,96.500000,96.500000,17693806
2016-06-21,97.000000,98.900002,96.599998,97.000000,97.000000,12387930
2016-06-22,96.900002,97.900002,96.000000,97.000000,97.000000,10891950
2016-06-23,98.000000,99.699997,98.000000,99.250000,99.250000,11372569
2016-06-24,95.800003,103.000000,93.550003,102.400002,102.400002,26994254
2016-06-27,103.750000,104.949997,102.900002,104.349998,104.349998,15188902
2016-06-28,104.900002,105.500000,103.300003,104.300003,104.300003,10418872
2016-06-29,105.199997,105.400002,104.050003,104.400002,104.400002,6618702
2016-06-30,105.500000,106.500000,104.650002,105.900002,105.900002,8714879
2016-07-01,106.099998,106.699997,104.849998,105.250000,105.250000,7061717
2016-07-04,106.199997,113.650002,105.599998,112.650002,112.650002,22334797
2016-07-05,113.000000,116.449997,112.550003,113.949997,113.949997,17612794
2016-07-07,117.000000,118.900002,116.400002,116.849998,116.849998,16287980
2016-07-08,117.900002,118.699997,114.000000,117.599998,117.599998,15826201
2016-07-11,121.000000,128.449997,119.900002,127.300003,127.300003,28664551
2016-07-12,128.449997,129.300003,124.400002,126.250000,126.250000,27472799
2016-07-13,126.900002,127.199997,123.550003,125.050003,125.050003,14121570
2016-07-14,124.199997,133.850006,124.099998,132.949997,132.949997,32394959
2016-07-15,134.000000,137.500000,133.699997,135.949997,135.949997,28503057
2016-07-18,137.199997,137.850006,131.500000,132.199997,132.199997,20155095
2016-07-19,132.000000,134.449997,128.750000,131.149994,131.149994,33819095
2016-07-20,131.500000,131.899994,128.550003,129.399994,129.399994,17487077
2016-07-21,129.000000,129.199997,122.500000,123.650002,123.650002,16629689
2016-07-22,122.800003,122.849998,119.400002,120.199997,120.199997,21835148
2016-07-25,119.449997,131.449997,119.150002,130.199997,130.199997,32101748
2016-07-26,131.699997,134.949997,128.800003,129.300003,129.300003,25554181
2016-07-27,130.000000,133.300003,128.600006,132.800003,132.800003,18362804
2016-07-28,133.250000,136.600006,128.500000,128.949997,128.949997,64858706
2016-07-29,128.500000,129.449997,122.900002,123.349998,123.349998,22168964
2016-08-01,125.500000,126.000000,120.000000,122.250000,122.250000,18871095
2016-08-02,122.500000,124.699997,120.449997,122.699997,122.699997,18591611
2016-08-03,122.599998,124.400002,120.750000,121.599998,121.599998,12484041
2016-08-04,123.000000,123.800003,120.599998,122.449997,122.449997,13542657
2016-08-05,123.900002,125.199997,122.050003,123.500000,123.500000,10784130
2016-08-08,124.250000,124.449997,121.449997,122.900002,122.900002,7678168
2016-08-09,123.000000,125.849998,122.050003,123.800003,123.800003,15356570
2016-08-10,123.849998,124.050003,119.250000,119.699997,119.699997,12995177
2016-08-11,119.000000,119.000000,114.599998,116.250000,116.250000,12331905
2016-08-12,115.550003,123.949997,115.349998,122.900002,122.900002,21812608
2016-08-16,123.800003,123.800003,121.099998,122.599998,122.599998,10314844
2016-08-17,122.449997,126.750000,122.349998,125.000000,125.000000,13020777
2016-08-18,126.050003,128.100006,125.699997,126.599998,126.599998,10505709
2016-08-19,127.650002,128.899994,126.599998,128.250000,128.250000,11746246
2016-08-22,128.000000,129.399994,126.349998,127.449997,127.449997,7084937
2016-08-23,127.400002,127.849998,125.050003,126.849998,126.849998,7811577
2016-08-24,128.000000,128.000000,125.650002,126.349998,126.349998,7590313
2016-08-25,126.449997,127.400002,125.099998,125.750000,125.750000,4990619
2016-08-26,125.750000,126.000000,122.300003,122.849998,122.849998,7612957
2016-08-29,122.800003,123.800003,121.699997,123.150002,123.150002,5588874
2016-08-30,123.900002,127.599998,123.500000,127.050003,127.050003,8091845
2016-08-31,127.400002,129.899994,126.699997,127.550003,127.550003,12256198
2016-09-01,127.250000,128.100006,125.000000,125.750000,125.750000,6989295
2016-09-02,126.050003,126.800003,124.300003,126.150002,126.150002,6841019
2016-09-06,127.349998,133.199997,127.300003,132.699997,132.699997,16168091
2016-09-07,134.000000,142.399994,134.000000,139.199997,139.199997,32963976
2016-09-08,140.000000,143.699997,139.699997,142.600006,142.600006,15259938
2016-09-09,142.649994,145.800003,140.250000,144.850006,144.850006,21172922
2016-09-12,139.699997,142.649994,135.750000,137.199997,137.199997,16293600
2016-09-14,138.100006,142.399994,137.800003,141.899994,141.899994,11923165
2016-09-15,142.550003,143.199997,137.250000,138.750000,138.750000,11864416
2016-09-16,140.949997,143.399994,137.250000,137.850006,137.850006,14310678
2016-09-19,138.699997,140.250000,137.699997,138.399994,138.399994,6831658
2016-09-20,138.399994,138.899994,136.850006,137.500000,137.500000,6289148
2016-09-21,138.000000,138.899994,135.250000,135.750000,135.750000,8304597
2016-09-22,141.000000,141.649994,137.649994,141.149994,141.149994,10960659
2016-09-23,141.399994,141.850006,139.000000,139.300003,139.300003,8968324
2016-09-26,137.500000,141.500000,137.500000,140.149994,140.149994,10127982
2016-09-27,141.100006,141.899994,138.750000,139.699997,139.699997,8289234
2016-09-28,139.449997,147.199997,139.100006,146.500000,146.500000,21069168
2016-09-29,148.000000,150.550003,131.850006,136.600006,136.600006,34985624
2016-09-30,137.000000,141.949997,136.500000,140.699997,140.699997,15959086
2016-10-03,143.199997,144.250000,142.000000,143.350006,143.350006,12933258
2016-10-04,144.000000,147.149994,141.350006,145.699997,145.699997,27243314
2016-10-05,147.199997,147.899994,143.500000,144.300003,144.300003,14790271
2016-10-06,144.699997,145.100006,140.500000,141.949997,141.949997,12147845
2016-10-07,141.899994,144.500000,140.600006,143.600006,143.600006,11947869
2016-10-10,144.899994,146.100006,143.300003,144.449997,144.449997,7198394
2016-10-13,143.000000,144.000000,135.750000,137.949997,137.949997,11908050
2016-10-14,138.850006,141.199997,138.300003,138.949997,138.949997,11186258
2016-10-17,139.500000,141.449997,135.600006,136.649994,136.649994,11933751
2016-10-18,139.550003,141.300003,137.300003,140.800003,140.800003,10742701
2016-10-19,142.000000,142.250000,139.750000,140.899994,140.899994,7757181
2016-10-20,141.899994,146.350006,141.149994,145.850006,145.850006,12951807
2016-10-21,146.399994,147.949997,143.000000,147.550003,147.550003,11120267
2016-10-24,148.149994,148.699997,145.699997,147.050003,147.050003,10264829
2016-10-25,147.699997,148.449997,145.949997,146.300003,146.300003,5409087
2016-10-26,145.699997,147.500000,143.250000,144.000000,144.000000,7700465
